1545	1631	1417	1453	1226	980	958	936	842	756	888	818	779	698	715	655	642	569	534	465	387	347	322
208	202	186	114	112	111	101	103	103	79	81	81	91	63	57	55	68	50	38	39	34	24	35
180	162	152	129	110	79	77	70	68	55	51	58	53	55	42	59	43	31	29	23	27	20	31
166	138	159	102	106	90	67	59	52	37	48	52	41	36	26	29	25	27	26	34	21	25	16
154	111	121	114	89	83	49	55	44	32	33	22	39	38	28	25	23	31	18	26	24	24	26
149	119	113	89	88	73	65	52	43	41	29	28	30	45	27	25	36	36	26	29	14	12	26
150	100	113	92	77	76	66	53	40	51	33	26	31	30	22	29	24	33	24	21	14	17	14
114	114	90	94	90	68	55	68	43	56	41	39	34	28	23	26	19	26	16	23	21	11	25
90	101	95	68	87	74	50	47	54	40	25	24	33	27	22	22	24	17	20	15	15	15	20
82	66	73	66	62	61	54	36	36	59	47	25	17	30	19	24	20	22	16	20	16	14	22
79	83	66	69	71	54	53	46	44	46	39	30	30	25	21	19	17	24	19	15	21	24	17
81	65	59	70	66	50	45	53	36	39	34	33	36	24	18	21	29	9	23	14	22	12	24
65	56	64	53	55	66	64	60	60	55	41	40	34	33	23	26	22	24	21	24	22	33	31
80	71	76	53	64	64	85	55	47	56	64	67	51	44	33	35	19	34	20	30	34	29	26
94	86	82	80	68	74	82	83	63	69	76	70	62	50	47	38	29	24	35	25	22	39	48
137	131	92	95	105	102	97	110	101	92	80	76	68	70	73	54	49	35	45	50	43	35	47
225	146	146	135	105	118	104	136	121	140	132	118	103	104	106	73	81	78	54	58	64	60	64
237	185	166	163	134	126	133	175	157	167	157	166	119	110	120	92	83	94	81	72	84	70	74
257	265	203	205	179	154	139	180	163	163	165	163	153	119	120	115	128	102	96	93	76	83	76
366	303	231	252	191	169	174	150	148	147	171	176	164	154	153	114	144	115	110	101	98	90	72
362	304	262	253	227	183	155	171	151	158	154	151	155	150	137	139	131	120	121	110	94	104	78
299	299	251	238	209	203	155	146	144	163	168	138	164	141	159	130	93	127	119	129	121	120	103
363	268	279	302	248	233	187	191	199	182	199	203	166	178	169	167	156	156	144	130	123	128	122
381	317	252	321	250	243	214	213	216	201	193	164	179	171	143	181	191	161	167	164	149	161	148
400	317	300	339	283	287	240	238	248	232	200	204	189	191	169	171	181	186	177	149	163	176	167
426	339	300	315	236	317	268	301	271	260	243	228	190	173	171	187	168	186	168	169	183	205	189
446	351	288	334	307	258	245	307	301	274	252	243	215	200	189	173	194	185	188	209	205	204	188
491	403	338	342	277	289	277	352	331	306	321	262	221	188	170	186	193	179	180	216	204	201	233
479	444	400	377	311	305	292	287	339	331	326	311	217	220	191	203	180	201	194	174	209	232	242
518	465	412	446	351	296	310	275	311	355	328	356	296	238	237	237	189	202	196	170	209	252	247
547	490	473	473	351	381	298	300	260	352	351	334	281	271	272	217	204	192	176	201	211	210	250
532	543	476	494	390	448	331	313	277	351	359	337	343	333	330	226	235	208	219	170	214	224	224
610	550	528	535	437	418	380	365	314	362	364	357	385	390	325	288	269	252	244	248	208	232	240
622	641	592	549	510	457	413	412	347	371	348	359	354	356	329	337	276	232	253	250	222	220	238
746	611	616	711	538	566	426	441	454	422	364	333	345	356	357	344	347	269	283	263	253	226	267
750	756	639	626	650	532	510	466	505	467	473	424	410	402	380	364	359	367	320	314	299	250	242
766	783	734	731	703	665	560	544	575	578	549	467	435	404	386	351	343	377	379	364	322	268	321
970	796	767	766	711	665	661	588	621	606	568	566	489	419	416	371	377	388	423	385	365	337	275
1066	1003	880	951	816	748	688	694	674	669	595	595	562	510	474	410	383	387	463	451	457	424	343
